term,label_type,label
palms and soles）指两手两足心发热,eight_principles,hot
“天行赤眼”等。 目赤肿痛常见于西医学的急性结膜炎,eight_principles,hot
“暴风客热”,eight_principles,hot
“脑渊”之称。多因外感风热邪毒,eight_principles,hot
一曰风助火郁于上,eight_principles,hot
一般将虚热进一步分为阴虚火旺和气虚火旺两种病状。,eight_principles,hot
一般属于热在营分,eight_principles,hot
一般我们讲的低热是指体温超过正常,eight_principles,hot
三曰燥邪伤肝。戴复庵云：目赤无非血雍肝经所致,eight_principles,hot
上焦生热,eight_principles,hot
不喜欢热食,eight_principles,hot
不得太息……。”肺热又称风温肺热,eight_principles,hot
与脾胃有密切关系。病机为湿热,eight_principles,hot
专治疮毒的秘方药物,eight_principles,hot
且一日间体温波动超过1℃以上,eight_principles,hot
且不伴有肿瘤和炎症,eight_principles,hot
个别部位干燥脱皮,eight_principles,hot
中医病名。小儿时期感受时行邪毒引起的肺系时行疾病,eight_principles,hot
中医病名。本病白睛暴发红赤,eight_principles,hot
中医病名。湿疮是一种由多种内外因素引起的过敏性炎症性皮肤病。以多形性皮损,eight_principles,hot
中医病名。痄腮是因感受风温邪毒,eight_principles,hot
中医称大便中带血不带脓的痢疾。痢下多血或下纯血者。即血痢。《诸病源候论·痢病诸候》：“热乘于血,eight_principles,hot
中度热38.1～39℃,eight_principles,hot
中暑是指长时间暴露在高温环境中,eight_principles,hot
中毒,eight_principles,hot
中毒性神经性麻木,eight_principles,hot
中毒等均可导致头痛。发病年龄常见于青年,eight_principles,hot
临床上即可发现黄疸,eight_principles,hot
临床表现为发热重,eight_principles,hot
丹毒（erysipelas）是一种累及真皮浅层淋巴管的感染,eight_principles,hot
为腋以下至第十二肋骨部的总称。可由肋骨软骨炎或肋间神经痛导致。,eight_principles,hot
主真火所藏,eight_principles,hot
主要以内分泌失调与血热,eight_principles,hot
久而化火,eight_principles,hot
久而化热,eight_principles,hot
也不属于炎症,eight_principles,hot
也是一种特殊类型的慢性喉炎。最主要的临床症状为声嘶。通过喉镜检查可以做出临床诊断。治疗方式主要为手术切除治疗。若经治疗好转后,eight_principles,hot
也有虚实寒热之别,eight_principles,hot
也称为显性黄疸。,eight_principles,hot
也称发热,eight_principles,hot
习惯性抽搐。中医认为引起抽搐的病因病机主要有热毒内盛,eight_principles,hot
二曰火盛,eight_principles,hot
五心烦热（sphoria with feverish sensation in chest,eight_principles,hot
五志过极化火而导致血热。亦称血分热。即血分有热。证见吐衄,eight_principles,hot
亦可发生中毒。,eight_principles,hot
亦可在慢性肠炎,eight_principles,hot
亦可引起胃热（胃火）。中医分为热郁胃中,eight_principles,hot
产后发热是指产褥期内,eight_principles,hot
人上火之后临床症状表现为：目赤肿痛,eight_principles,hot
从而导致盆腔炎性包块发生。患者常先有急性输卵管炎的临床表现,eight_principles,hot
以发热,eight_principles,hot
以致关节软骨被破坏而引起的慢性关节病。又称退化性关节炎,eight_principles,hot
以高热,eight_principles,hot
以鼻腔干燥为主要表现的鼻部疾患。西医学的干燥性鼻炎可参考本篇进行辨证施治。,eight_principles,hot
传染性结膜炎,eight_principles,hot
伤风是由风邪侵袭人体引起的常见外感热病。一年四季均可发生。尤以冬春两季为多见。临床以头痛,eight_principles,hot
伴意识丧失。高热惊厥分为单纯性高热惊厥和复杂性高热惊厥两种。各年龄期（除新生儿期）小儿均可发生,eight_principles,hot
但因种种原因常以腋温为准。若腋温超过37.4℃,eight_principles,hot
但在38℃以下者。引起低热的原因较多,eight_principles,hot
但有实火与虚火的区别,eight_principles,hot
但流行程度和危害性以病毒性结膜炎为重。本病全年均可发生,eight_principles,hot
低热,eight_principles,hot
低热等,eight_principles,hot
低热（low fever）是一种常见的症状,eight_principles,hot
体温中枢功能紊乱或各种原因引起的产热过多,eight_principles,hot
体温升高>=39℃时发生的惊厥,eight_principles,hot
体温超过正常,eight_principles,hot
使人体产生类似中毒的效应。能源耗尽学说认为,eight_principles,hot
便短赤是一个中医名词,eight_principles,hot
俗称火眼,eight_principles,hot
假性结膜炎以及流行性角膜炎等,eight_principles,hot
入里化火,eight_principles,hot
入黄蜡,eight_principles,hot
全身皮肤发黄,eight_principles,hot
关节炎或关节病牵涉范围非常广泛,eight_principles,hot
其主要的病变特征是——咽部的黏膜发炎,eight_principles,hot
其他器官的疾病也可引起腰痛。如泌尿系炎症或结石,eight_principles,hot
其寒时自寒而不觉热。与恶寒发热的寒热同时并作不同。《类证活人书》：“往来寒热者,eight_principles,hot
其毒液由伤口进入人体内而引起的一种急性全身性中毒性疾病。,eight_principles,hot
其热时自热而不觉寒,eight_principles,hot
其色或黄或青,eight_principles,hot
其色赤,eight_principles,hot
内有烦热的症状。这是由于热邪内伏,eight_principles,hot
内热进而化虚火。根据病机不同,eight_principles,hot
凡发热同时又有心烦,eight_principles,hot
出现发热持续不退,eight_principles,hot
