term,combo_cold_deficiency_excess_hot_internal_yang_yin,combo_cold_deficiency_excess_hot_yang_yin,combo_cold_deficiency_excess_internal_yang_yin,combo_cold_deficiency_external_hot_internal_yang_yin,combo_cold_deficiency_external_internal_yin,combo_cold_deficiency_hot_internal_yang_yin,combo_cold_deficiency_hot_yang_yin,combo_cold_deficiency_internal_yang_yin,combo_cold_deficiency_internal_yin,combo_cold_deficiency_yang_yin,combo_cold_deficiency_yin,combo_cold_excess_external_internal_yang_yin,combo_cold_excess_internal_yang_yin,combo_cold_excess_yang_yin,combo_deficiency_excess_hot_yang_yin,combo_deficiency_external_hot_internal_yang_yin,combo_deficiency_hot_internal_yang_yin,combo_deficiency_hot_yang_yin,combo_excess_external_hot_internal_yang,combo_excess_external_hot_internal_yang_yin,combo_excess_hot_internal_yang,combo_excess_hot_yang
“天行赤眼”等。 目赤肿痛常见于西医学的急性结膜炎,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
习惯性抽搐。中医认为引起抽搐的病因病机主要有热毒内盛,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
亦可引起胃热（胃火）。中医分为热郁胃中,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
传染性结膜炎,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
但流行程度和危害性以病毒性结膜炎为重。本病全年均可发生,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
假性结膜炎以及流行性角膜炎等,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
其他器官的疾病也可引起腰痛。如泌尿系炎症或结石,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
劳淋六证。基本病机为湿热蕴结下焦,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
即火痰也。”证见烦热燥结,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
可分为细菌性结膜炎和病毒性结膜炎两类,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
咽结膜热,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
均称“烦热”。多由于里热过盛,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
子宫内膜炎等引起的经期延长。宫内节育器和输卵管结扎后引起的经期延长也按本病治疗。本病一般预后良好。,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
容易在体内积累毒素,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
属里实热证,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
急性梗阻性化脓性胆管炎等,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
患者常有传染病接触史。本病与西医学之急性传染性结膜炎相似。,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
或痰火暴亢,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
是热病后余毒结于颐颌间引起的急性化脓性疾病。临床特点是常发生于热病后期,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
沙眼是由沙眼衣原体引起的一种慢性传染性结膜角膜炎,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
湿热痢重症。多因湿浊热毒蕴结肠中,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
湿热等邪气痹阻腰膝所致。,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
湿热蕴结于下焦,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
湿热阻于肾与膀胱,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
溃面有糜烂的现象。中医认为由脾胃积热,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
甚至溃疡久不愈合。多由心脾积热,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
病症名。多为胞内有实热,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
病证名。指痰热壅阻于肺,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
痰热阻肺,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
目赤是指眼结膜充血,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
结膜炎也可以引起畏光,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
结膜炎时大都有不同程度的畏光流泪。多见于角膜异物,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
肺热咳嗽是由于肺内郁热,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
