term,label_cold,label_deficiency,label_excess,label_external,label_hot,label_internal,label_yang,label_yin
palms and soles）指两手两足心发热,False,False,False,False,True,False,False,False
“天行赤眼”等。 目赤肿痛常见于西医学的急性结膜炎,False,False,False,False,True,False,False,False
“暴风客热”,False,False,False,False,True,False,False,False
“脑渊”之称。多因外感风热邪毒,False,False,False,False,True,False,False,False
一曰风助火郁于上,False,False,False,False,True,False,False,False
一般将虚热进一步分为阴虚火旺和气虚火旺两种病状。,False,False,False,False,True,False,False,False
一般属于热在营分,False,False,False,False,True,False,False,False
一般我们讲的低热是指体温超过正常,False,False,False,False,True,False,False,False
三曰燥邪伤肝。戴复庵云：目赤无非血雍肝经所致,False,False,False,False,True,False,False,False
上焦生热,False,False,False,False,True,False,False,False
不喜欢热食,False,False,False,False,True,False,False,False
不得太息……。”肺热又称风温肺热,False,False,False,False,True,False,False,False
与脾胃有密切关系。病机为湿热,False,False,False,False,True,False,False,False
专治疮毒的秘方药物,False,False,False,False,True,False,False,False
且一日间体温波动超过1℃以上,False,False,False,False,True,False,False,False
且不伴有肿瘤和炎症,False,False,False,False,True,False,False,False
个别部位干燥脱皮,False,False,False,False,True,False,False,False
中医病名。小儿时期感受时行邪毒引起的肺系时行疾病,False,False,False,False,True,False,False,False
中医病名。本病白睛暴发红赤,False,False,False,False,True,False,False,False
中医病名。湿疮是一种由多种内外因素引起的过敏性炎症性皮肤病。以多形性皮损,False,False,False,False,True,False,False,False
中医病名。痄腮是因感受风温邪毒,False,False,False,False,True,False,False,False
中医称大便中带血不带脓的痢疾。痢下多血或下纯血者。即血痢。《诸病源候论·痢病诸候》：“热乘于血,False,False,False,False,True,False,False,False
中度热38.1～39℃,False,False,False,False,True,False,False,False
中暑是指长时间暴露在高温环境中,False,False,False,False,True,False,False,False
中毒,False,False,False,False,True,False,False,False
中毒性神经性麻木,False,False,False,False,True,False,False,False
中毒等均可导致头痛。发病年龄常见于青年,False,False,False,False,True,False,False,False
临床上即可发现黄疸,False,False,False,False,True,False,False,False
临床表现为发热重,False,False,False,False,True,False,False,False
丹毒（erysipelas）是一种累及真皮浅层淋巴管的感染,False,False,False,False,True,False,False,False
为腋以下至第十二肋骨部的总称。可由肋骨软骨炎或肋间神经痛导致。,False,False,False,False,True,False,False,False
主真火所藏,False,False,False,False,True,False,False,False
主要以内分泌失调与血热,False,False,False,False,True,False,False,False
久而化火,False,False,False,False,True,False,False,False
久而化热,False,False,False,False,True,False,False,False
也不属于炎症,False,False,False,False,True,False,False,False
也是一种特殊类型的慢性喉炎。最主要的临床症状为声嘶。通过喉镜检查可以做出临床诊断。治疗方式主要为手术切除治疗。若经治疗好转后,False,False,False,False,True,False,False,False
也有虚实寒热之别,False,False,False,False,True,False,False,False
也称为显性黄疸。,False,False,False,False,True,False,False,False
也称发热,False,False,False,False,True,False,False,False
习惯性抽搐。中医认为引起抽搐的病因病机主要有热毒内盛,False,False,False,False,True,False,False,False
二曰火盛,False,False,False,False,True,False,False,False
五心烦热（sphoria with feverish sensation in chest,False,False,False,False,True,False,False,False
五志过极化火而导致血热。亦称血分热。即血分有热。证见吐衄,False,False,False,False,True,False,False,False
亦可发生中毒。,False,False,False,False,True,False,False,False
亦可在慢性肠炎,False,False,False,False,True,False,False,False
亦可引起胃热（胃火）。中医分为热郁胃中,False,False,False,False,True,False,False,False
产后发热是指产褥期内,False,False,False,False,True,False,False,False
人上火之后临床症状表现为：目赤肿痛,False,False,False,False,True,False,False,False
从而导致盆腔炎性包块发生。患者常先有急性输卵管炎的临床表现,False,False,False,False,True,False,False,False
以发热,False,False,False,False,True,False,False,False
以致关节软骨被破坏而引起的慢性关节病。又称退化性关节炎,False,False,False,False,True,False,False,False
以高热,False,False,False,False,True,False,False,False
以鼻腔干燥为主要表现的鼻部疾患。西医学的干燥性鼻炎可参考本篇进行辨证施治。,False,False,False,False,True,False,False,False
传染性结膜炎,False,False,False,False,True,False,False,False
伤风是由风邪侵袭人体引起的常见外感热病。一年四季均可发生。尤以冬春两季为多见。临床以头痛,False,False,False,False,True,False,False,False
伴意识丧失。高热惊厥分为单纯性高热惊厥和复杂性高热惊厥两种。各年龄期（除新生儿期）小儿均可发生,False,False,False,False,True,False,False,False
但因种种原因常以腋温为准。若腋温超过37.4℃,False,False,False,False,True,False,False,False
但在38℃以下者。引起低热的原因较多,False,False,False,False,True,False,False,False
但有实火与虚火的区别,False,False,False,False,True,False,False,False
但流行程度和危害性以病毒性结膜炎为重。本病全年均可发生,False,False,False,False,True,False,False,False
低热,False,False,False,False,True,False,False,False
低热等,False,False,False,False,True,False,False,False
低热（low fever）是一种常见的症状,False,False,False,False,True,False,False,False
体温中枢功能紊乱或各种原因引起的产热过多,False,False,False,False,True,False,False,False
体温升高>=39℃时发生的惊厥,False,False,False,False,True,False,False,False
体温超过正常,False,False,False,False,True,False,False,False
使人体产生类似中毒的效应。能源耗尽学说认为,False,False,False,False,True,False,False,False
便短赤是一个中医名词,False,False,False,False,True,False,False,False
俗称火眼,False,False,False,False,True,False,False,False
假性结膜炎以及流行性角膜炎等,False,False,False,False,True,False,False,False
入里化火,False,False,False,False,True,False,False,False
入黄蜡,False,False,False,False,True,False,False,False
全身皮肤发黄,False,False,False,False,True,False,False,False
关节炎或关节病牵涉范围非常广泛,False,False,False,False,True,False,False,False
其主要的病变特征是——咽部的黏膜发炎,False,False,False,False,True,False,False,False
其他器官的疾病也可引起腰痛。如泌尿系炎症或结石,False,False,False,False,True,False,False,False
其寒时自寒而不觉热。与恶寒发热的寒热同时并作不同。《类证活人书》：“往来寒热者,False,False,False,False,True,False,False,False
其毒液由伤口进入人体内而引起的一种急性全身性中毒性疾病。,False,False,False,False,True,False,False,False
其热时自热而不觉寒,False,False,False,False,True,False,False,False
其色或黄或青,False,False,False,False,True,False,False,False
其色赤,False,False,False,False,True,False,False,False
内有烦热的症状。这是由于热邪内伏,False,False,False,False,True,False,False,False
内热进而化虚火。根据病机不同,False,False,False,False,True,False,False,False
凡发热同时又有心烦,False,False,False,False,True,False,False,False
出现发热持续不退,False,False,False,False,True,False,False,False
出现胃部灼烧感,False,False,False,False,True,False,False,False
出自《素问·刺热篇》。,False,False,False,False,True,False,False,False
分别采取温补脾肾或滋养肝肾法,False,False,False,False,True,False,False,False
则腋窝体温（检测10分钟）超过37℃可定为发热。,False,False,False,False,True,False,False,False
则见壮热烦渴,False,False,False,False,True,False,False,False
则见头痛身热,False,False,False,False,True,False,False,False
初起见有身热,False,False,False,False,True,False,False,False
刺激皮肉而感到疼痛：感到剧烈的烧灼样的疼痛,False,False,False,False,True,False,False,False
前列腺炎,False,False,False,False,True,False,False,False
动脉硬化是动脉的一种非炎症性病变,False,False,False,False,True,False,False,False
助火生热,False,False,False,False,True,False,False,False
劳淋六证。基本病机为湿热蕴结下焦,False,False,False,False,True,False,False,False
包括炎症,False,False,False,False,True,False,False,False
包括病毒性肝炎,False,False,False,False,True,False,False,False
午后发热,False,False,False,False,True,False,False,False
单纯性高热惊厥愈后良好,False,False,False,False,True,False,False,False
即按该炎症处命名,False,False,False,False,True,False,False,False
即暑热挟湿。以胸脘痞闷,False,False,False,False,True,False,False,False
即火痰也。”证见烦热燥结,False,False,False,False,True,False,False,False
即胃火,False,False,False,False,True,False,False,False
压之无痛为临床特点。临床表现与西医学的慢性胃炎（包括浅表性胃炎和萎缩性胃炎）,False,False,False,False,True,False,False,False
去腐消炎,False,False,False,False,True,False,False,False
又称“风热眼”,False,False,False,False,True,False,False,False
又称为发热。每个人的正常体温略有不同,False,False,False,False,True,False,False,False
又称发烧。由于致热原的作用使体温调定点上移而引起的调节性体温升高（超过0.5℃）,False,False,False,False,True,False,False,False
又称气阴两伤。气虚和阴虚同时并见的病理变化。常见于热性病过程中,False,False,False,False,True,False,False,False
发热,False,False,False,False,True,False,False,False
发热和运动受限,False,False,False,False,True,False,False,False
发热恶寒等为主要证候特点。病情有轻重不同,False,False,False,False,True,False,False,False
发热是多种疾病的常见症状。小儿正常体温常以肛温36.5～37.5℃,False,False,False,False,True,False,False,False
发热是多种疾病的常见症状。高热(High Fever)在临床上属于危重症范畴。小儿正常体温常以肛温36.5～37.5℃,False,False,False,False,True,False,False,False
发生喘咳。症见发热咳嗽,False,False,False,False,True,False,False,False
发生在舌的称舌疡。可见于现代医学的口腔溃疡。疮疡皆属于火,False,False,False,False,True,False,False,False
发生盆腔慢性炎症性组织学改变,False,False,False,False,True,False,False,False
发瘀等的病理状态。血热多由邪热入血所致,False,False,False,False,True,False,False,False
口干咽燥,False,False,False,False,True,False,False,False
口干咽燥等症。,False,False,False,False,True,False,False,False
口干唇燥,False,False,False,False,True,False,False,False
口燥咽干,False,False,False,False,True,False,False,False
口腔炎症是指口颊,False,False,False,False,True,False,False,False
可分为热淋,False,False,False,False,True,False,False,False
可分为细菌性结膜炎和病毒性结膜炎两类,False,False,False,False,True,False,False,False
可见于多种感染性疾病和非感染性疾病。但有时体温升高不一定都是疾病引起的,False,False,False,False,True,False,False,False
可认为发热。所谓低热,False,False,False,False,True,False,False,False
名非哺乳期乳痈。现代医学之急性化脓性乳腺炎属于乳痈范畴。,False,False,False,False,True,False,False,False
后世将外科分为疮疡与杂证两大类。疮疡多由毒邪内侵,False,False,False,False,True,False,False,False
呈黄色或黄绿色。脓液是机体组织炎症过程中形成的浓稠或稀薄的渗出物,False,False,False,False,True,False,False,False
咯黄稠痰或痰中带血,False,False,False,False,True,False,False,False
咽喉炎以及病毒感染甚至心肌梗死均可引起咽喉痛。,False,False,False,False,True,False,False,False
咽喉痒是慢性咽炎的一种症状,False,False,False,False,True,False,False,False
咽或喉部急性炎症的总称。广义的上感不是一个疾病诊断,False,False,False,False,True,False,False,False
咽结膜热,False,False,False,False,True,False,False,False
哮喘又名支气管哮喘。支气管哮喘是由多种细胞及细胞组分参与的慢性气道炎症,False,False,False,False,True,False,False,False
喉炎,False,False,False,False,True,False,False,False
喜冷畏热,False,False,False,False,True,False,False,False
因外感而喘咯咳唾者 《泰定养生主论》 “热痰者,False,False,False,False,True,False,False,False
因感受风邪或风热怫郁而发的病证。《泰定养生主论》：“风痰者,False,False,False,False,True,False,False,False
因风热客于肠胃或湿热蕴积肠胃,False,False,False,False,True,False,False,False
在面部可引起疔疮走黄（西医称为败血症或脓毒败血症）,False,False,False,False,True,False,False,False
均称“烦热”。多由于里热过盛,False,False,False,False,True,False,False,False
增生性颈椎炎,False,False,False,False,True,False,False,False
壅阻少阳经脉引起的时行疾病。以发热,False,False,False,False,True,False,False,False
壮热是指病人自觉热甚,False,False,False,False,True,False,False,False
复杂性高热惊厥愈后则较差。,False,False,False,False,True,False,False,False
外感热邪,False,False,False,False,True,False,False,False
外感风热所致。中医认为,False,False,False,False,True,False,False,False
外界温度变化和过度吸烟亦可引起。呃逆频繁或持续24小时以上,False,False,False,False,True,False,False,False
外痔发炎,False,False,False,False,True,False,False,False
外而肿热,False,False,False,False,True,False,False,False
外阴炎,False,False,False,False,True,False,False,False
多兼面赤,False,False,False,False,True,False,False,False
多属实火,False,False,False,False,True,False,False,False
多属肺热。,False,False,False,False,True,False,False,False
多数白带异常为感染或炎症引起,False,False,False,False,True,False,False,False
多烦热,False,False,False,False,True,False,False,False
多由于风火,False,False,False,False,True,False,False,False
多由热盛伤津或阴液亏虚所致,False,False,False,False,True,False,False,False
多由邪热犯胃,False,False,False,False,True,False,False,False
夜热早凉是指夜间低热,False,False,False,False,True,False,False,False
大于2cm者称为斑片。斑疹可以分为炎症性和非炎症性两种。有的斑疹上还会有鳞屑,False,False,False,False,True,False,False,False
大便干燥多见于中老年人,False,False,False,False,True,False,False,False
大便黄而黏腻,False,False,False,False,True,False,False,False
大黄,False,False,False,False,True,False,False,False
大黄等药煎服,False,False,False,False,True,False,False,False
天行暴赤。俗称红眼病。本病见于《银海精微》。该书对本病病因及其传染流行等均有描述。多于夏秋之季发病,False,False,False,False,True,False,False,False
天行赤眼,False,False,False,False,True,False,False,False
天行赤眼暴翳,False,False,False,False,True,False,False,False
头发干枯而黄,False,False,False,False,True,False,False,False
头面噏噏而热,False,False,False,False,True,False,False,False
头面烘热,False,False,False,False,True,False,False,False
如上呼吸道某一局部炎症特别突出,False,False,False,False,True,False,False,False
如急性鼻炎,False,False,False,False,True,False,False,False
如感染性高热等。局部性多汗症常初发于儿童或青少年,False,False,False,False,True,False,False,False
如滴虫性阴道炎,False,False,False,False,True,False,False,False
如潮汐之有定时。午后潮热,False,False,False,False,True,False,False,False
子宫内膜炎,False,False,False,False,True,False,False,False
子宫内膜炎或盆腔感染,False,False,False,False,True,False,False,False
子宫内膜炎等引起的经期延长。宫内节育器和输卵管结扎后引起的经期延长也按本病治疗。本病一般预后良好。,False,False,False,False,True,False,False,False
子宫颈炎,False,False,False,False,True,False,False,False
宜五苓散加大黄,False,False,False,False,True,False,False,False
宜半黄丸。”④素有痰疾,False,False,False,False,True,False,False,False
宜温气汤。痛而小便不利为湿热,False,False,False,False,True,False,False,False
宜温补汤。痛而拒按为实,False,False,False,False,True,False,False,False
宜用六味地黄丸加沙苑子。参见消渴条。蛔虫会引起不同程度的善饥。,False,False,False,False,True,False,False,False
宜补血清热,False,False,False,False,True,False,False,False
宜黄芩,False,False,False,False,True,False,False,False
审因论治。特别是对功能性低热,False,False,False,False,True,False,False,False
宫寒顾名思义是“子宫寒冷”的简称。在中医学的文献记载和正式的教科书及相关的中医妇科专著中并无此词条。但是“宫寒”已经成为深入人心的热词,False,False,False,False,True,False,False,False
容易在体内积累毒素,False,False,False,False,True,False,False,False
寒温失调等多种因素导致肝气失舒,False,False,False,False,True,False,False,False
寒热往来是发热与恶寒交替出现的一种热型,False,False,False,False,True,False,False,False
寒热虚实夹杂者宜通涩兼施,False,False,False,False,True,False,False,False
寒痢宜温,False,False,False,False,True,False,False,False
对于各种疑难疮毒,False,False,False,False,True,False,False,False
导致体温升高超过正常范围的情形。每个人的正常体温略有不同,False,False,False,False,True,False,False,False
小便热赤,False,False,False,False,True,False,False,False
小便短赤,False,False,False,False,True,False,False,False
小便赤涩,False,False,False,False,True,False,False,False
小儿急性上呼吸道感染系由各种病原引起的上呼吸道炎症,False,False,False,False,True,False,False,False
尤其是有皲裂或溃疡的炎症为致病菌提供了侵入的途径。轻度擦伤或搔抓,False,False,False,False,True,False,False,False
就是我们平常所说的“骨毒”。“骨毒”长期存在于骨与骨膜之上形成“宿毒”。宿毒使得骨及关节周围软织反复充血,False,False,False,False,True,False,False,False
尿毒症,False,False,False,False,True,False,False,False
尿赤,False,False,False,False,True,False,False,False
局部灼痛明显,False,False,False,False,True,False,False,False
属于阴虚内热的症候,False,False,False,False,True,False,False,False
属里实热证,False,False,False,False,True,False,False,False
常为烧灼感,False,False,False,False,True,False,False,False
常伴出汗及心悸而出现的燥热症状,False,False,False,False,True,False,False,False
常温中即有蒸发。汞中毒以慢性为多见,False,False,False,False,True,False,False,False
干燥,False,False,False,False,True,False,False,False
干燥多风,False,False,False,False,True,False,False,False
并自觉心胸烦热。多由阴虚火旺,False,False,False,False,True,False,False,False
并非疾病。多见于急性肝炎时,False,False,False,False,True,False,False,False
形成肉眼呈灰黄色或黄白色的浓稠状液体。其处理方法主要有：清理伤口感染,False,False,False,False,True,False,False,False
心包炎,False,False,False,False,True,False,False,False
心火上炎,False,False,False,False,True,False,False,False
急性咽炎,False,False,False,False,True,False,False,False
急性多发性神经根炎性麻木,False,False,False,False,True,False,False,False
急性扁桃体炎等。急性上感主要用于上呼吸道局部感染定位并不确切者。鼻咽部感染常出现并发症,False,False,False,False,True,False,False,False
急性梗阻性化脓性胆管炎等,False,False,False,False,True,False,False,False
急性胃肠炎,False,False,False,False,True,False,False,False
急性胆囊炎,False,False,False,False,True,False,False,False
急性高热多见于感染性和变态感应性疾病,False,False,False,False,True,False,False,False
急慢性支气管炎发作等呼吸系统疾病都有可能出现本病症。,False,False,False,False,True,False,False,False
恶寒与发热交替发作,False,False,False,False,True,False,False,False
恶寒发热,False,False,False,False,True,False,False,False
恶毒疮,False,False,False,False,True,False,False,False
患者常有传染病接触史。本病与西医学之急性传染性结膜炎相似。,False,False,False,False,True,False,False,False
患者经常出现大便干燥,False,False,False,False,True,False,False,False
感寒停湿及热迫肠胃所致。,False,False,False,False,True,False,False,False
感染引起的神经炎性麻木,False,False,False,False,True,False,False,False
慢性咽炎,False,False,False,False,True,False,False,False
慢性肾炎,False,False,False,False,True,False,False,False
慢性胃炎,False,False,False,False,True,False,False,False
慢性胆囊炎,False,False,False,False,True,False,False,False
慢性胆管炎,False,False,False,False,True,False,False,False
或一日之间体温相差在1℃以上,False,False,False,False,True,False,False,False
或低热持续,False,False,False,False,True,False,False,False
或因风热怫郁而然也。此皆素抱痰疾者,False,False,False,False,True,False,False,False
或在炎热环境中进行体力活动引起机体体温调节功能紊乱所致的一组临床症候群,False,False,False,False,True,False,False,False
或外感风热,False,False,False,False,True,False,False,False
或干燥,False,False,False,False,True,False,False,False
或恶热,False,False,False,False,True,False,False,False
或温热病后期及内伤杂病,False,False,False,False,True,False,False,False
或渴喜热饮,False,False,False,False,True,False,False,False
或湿热,False,False,False,False,True,False,False,False
或烦躁而有闷热的感觉,False,False,False,False,True,False,False,False
或热病后期阴液尚未恢复,False,False,False,False,True,False,False,False
或热盛耗伤津液,False,False,False,False,True,False,False,False
或病后余热留恋,False,False,False,False,True,False,False,False
